```json
[
  {"id":"Q001","current":"self-hosted k8s","replaced":"ECS Fargate"},
  {"id":"Q002","current":"not specified","replaced":"not specified"},
  {"id":"Q003","current":"Google Pub/Sub","replaced":"not specified"},
  {"id":"Q004","current":"NATS JetStream","replaced":"not specified"},
  {"id":"Q005","current":"JWT HS256","replaced":"not specified"},
  {"id":"Q006","current":"ECS Fargate","replaced":"not specified"},
  {"id":"Q007","current":"Google Pub/Sub","replaced":"not specified"},
  {"id":"Q008","current":"not specified","replaced":"not specified"},
  {"id":"Q009","current":"in-process LRU","replaced":"Memcached"},
  {"id":"Q010","current":"GKE Autopilot","replaced":"not specified"},
  {"id":"Q011","current":"not specified","replaced":"not specified"},
  {"id":"Q012","current":"not specified","replaced":"not specified"},
  {"id":"Q013","current":"Google Pub/Sub","replaced":"not specified"},
  {"id":"Q014","current":"in-process LRU","replaced":"not specified"},
  {"id":"Q015","current":"GKE Autopilot","replaced":"not specified"},
  {"id":"Q016","current":"CockroachDB","replaced":"not specified"},
  {"id":"Q017","current":"NATS JetStream","replaced":"not specified"},
  {"id":"Q018","current":"JWT RS256/JWKS","replaced":"not specified"},
  {"id":"Q019","current":"Apache Kafka","replaced":"not specified"},
  {"id":"Q020","current":"GKE Autopilot","replaced":"not specified"},
  {"id":"Q021","current":"not specified","replaced":"not specified"},
  {"id":"Q022","current":"in-process LRU","replaced":"not specified"},
  {"id":"Q023","current":"JWT RS256/JWKS","replaced":"not specified"},
  {"id":"Q024","current":"mutual-TLS","replaced":"not specified"},
  {"id":"Q025","current":"CockroachDB","replaced":"not specified"},
  {"id":"Q026","current":"GKE Autopilot","replaced":"HashiCorp Nomad"},
  {"id":"Q027","current":"HashiCorp Nomad","replaced":"not specified"},
  {"id":"Q028","current":"Postgres 16","replaced":"CockroachDB"},
  {"id":"Q029","current":"not specified","replaced":"not specified"},
  {"id":"Q030","current":"opaque Redis sessions","replaced":"not specified"},
  {"id":"Q031","current":"Apache Kafka","replaced":"not specified"},
  {"id":"Q032","current":"Redis","replaced":"not specified"},
  {"id":"Q033","current":"in-process LRU","replaced":"not specified"},
  {"id":"Q034","current":"not specified","replaced":"not specified"},
  {"id":"Q035","current":"RabbitMQ","replaced":"not specified"},
  {"id":"Q036","current":"Memcached","replaced":"Hazelcast"},
  {"id":"Q037","current":"Hazelcast","replaced":"not specified"},
  {"id":"Q038","current":"mutual-TLS","replaced":"not specified"},
  {"id":"Q039","current":"Apache Kafka","replaced":"not specified"},
  {"id":"Q040","current":"ECS Fargate","replaced":"not specified"}
]
```
