```json
[
  {"id":"Q001","current":"self-hosted k8s","replaced":"ECS Fargate"},
  {"id":"Q002","current":"HashiCorp Nomad","replaced":"blank/none shown"},
  {"id":"Q003","current":"Apache Kafka","replaced":"Google Pub/Sub"},
  {"id":"Q004","current":"NATS JetStream","replaced":"blank/none shown"},
  {"id":"Q005","current":"JWT RS256/JWKS","replaced":"JWT HS256"},
  {"id":"Q006","current":"ECS Fargate","replaced":"HashiCorp Nomad"},
  {"id":"Q007","current":"Google Pub/Sub","replaced":"blank/none shown"},
  {"id":"Q008","current":"Memcached","replaced":"blank/none shown"},
  {"id":"Q009","current":"in-process LRU","replaced":"Redis"},
  {"id":"Q010","current":"GKE Autopilot","replaced":"blank/none shown"},
  {"id":"Q011","current":"MySQL 8","replaced":"Postgres 16"},
  {"id":"Q012","current":"Memcached","replaced":"blank/none shown"},
  {"id":"Q013","current":"RabbitMQ","replaced":"Google Pub/Sub"},
  {"id":"Q014","current":"Hazelcast","replaced":"Redis"},
  {"id":"Q015","current":"ECS Fargate","replaced":"self-hosted k8s"},
  {"id":"Q016","current":"Cloud Spanner","replaced":"CockroachDB"},
  {"id":"Q017","current":"Google Pub/Sub","replaced":"Apache Kafka"},
  {"id":"Q018","current":"JWT RS256/JWKS","replaced":"blank/none shown"},
  {"id":"Q019","current":"Amazon SQS","replaced":"Apache Kafka"},
  {"id":"Q020","current":"GKE Autopilot","replaced":"blank/none shown"},
  {"id":"Q021","current":"CockroachDB","replaced":"blank/none shown"},
  {"id":"Q022","current":"in-process LRU","replaced":"Redis"},
  {"id":"Q023","current":"JWT RS256/JWKS","replaced":"blank/none shown"},
  {"id":"Q024","current":"mutual-TLS client certs","replaced":"PASETO v4"},
  {"id":"Q025","current":"CockroachDB","replaced":"blank/none shown"},
  {"id":"Q026","current":"ECS Fargate","replaced":"GKE Autopilot"},
  {"id":"Q027","current":"HashiCorp Nomad","replaced":"GKE Autopilot"},
  {"id":"Q028","current":"Postgres 16","replaced":"CockroachDB"},
  {"id":"Q029","current":"Apache Kafka","replaced":"blank/none shown"},
  {"id":"Q030","current":"opaque Redis sessions","replaced":"opaque Redis sessions"},
  {"id":"Q031","current":"Apache Kafka","replaced":"Google Pub/Sub"},
  {"id":"Q032","current":"Redis","replaced":"Memcached"},
  {"id":"Q033","current":"Redis","replaced":"in-process LRU"},
  {"id":"Q034","current":"DynamoDB","replaced":"MySQL 8"},
  {"id":"Q035","current":"Google Pub/Sub","replaced":"RabbitMQ"},
  {"id":"Q036","current":"Memcached","replaced":"blank/none shown"},
  {"id":"Q037","current":"Hazelcast","replaced":"Memcached"},
  {"id":"Q038","current":"mutual-TLS client certs","replaced":"blank/none shown"},
  {"id":"Q039","current":"Apache Kafka","replaced":"Google Pub/Sub"},
  {"id":"Q040","current":"ECS Fargate","replaced":"self-hosted k8s"}
]
```
